Number Flocks;Length;Grid;Time;Flocks
12;18;0.8;10;190
12;18;0.9;10;204
12;18;1;15;217
12;18;1.1;20;210
12;18;1.2;23;216
12;18;1.3;29;238
12;18;1.4;30;297
12;18;1.5;40;364
12;20;0.8;10;145
12;20;0.9;10;184
12;20;1;16;195
12;20;1.1;21;174
12;20;1.2;23;178
12;20;1.3;29;187
12;20;1.4;29;208
12;20;1.5;40;231
14;4;0.8;8;979
14;4;0.9;8;1222
14;4;1;11;1571
14;4;1.1;16;2264
14;4;1.2;16;2881
14;4;1.3;21;3233
14;4;1.4;22;3718
14;4;1.5;27;4490
14;6;0.8;8;680
14;6;0.9;9;785
14;6;1;12;1002
14;6;1.1;16;1402
14;6;1.2;17;2001
14;6;1.3;22;2070
14;6;1.4;23;2237
14;6;1.5;28;2607
14;8;0.8;8;482
14;8;0.9;8;562
14;8;1;12;678
14;8;1.1;16;922
14;8;1.2;18;1389
14;8;1.3;22;1476
14;8;1.4;23;1530
14;8;1.5;29;1771
14;10;0.8;9;339
14;10;0.9;9;380
14;10;1;12;469
14;10;1.1;16;616
14;10;1.2;18;1004
14;10;1.3;23;1031
14;10;1.4;23;1064
14;10;1.5;28;1201
14;12;0.8;8;273
14;12;0.9;8;255
14;12;1;13;333
14;12;1.1;17;394
14;12;1.2;18;687
14;12;1.3;23;669
14;12;1.4;23;746
14;12;1.5;29;866
14;14;0.8;9;155
14;14;0.9;8;182
14;14;1;13;244
14;14;1.1;16;279
14;14;1.2;19;360
14;14;1.3;23;379
14;14;1.4;23;463
14;14;1.5;29;577
14;16;0.8;8;116
14;16;0.9;8;128
14;16;1;12;152
14;16;1.1;16;179
14;16;1.2;19;206
14;16;1.3;23;219
14;16;1.4;23;268
14;16;1.5;29;348
14;18;0.8;8;96
14;18;0.9;8;106
14;18;1;12;115
14;18;1.1;16;136
14;18;1.2;19;132
14;18;1.3;23;141
14;18;1.4;23;160
14;18;1.5;29;199
14;20;0.8;8;86
14;20;0.9;8;91
14;20;1;13;87
14;20;1.1;15;105
14;20;1.2;18;104
14;20;1.3;22;106
14;20;1.4;22;112
14;20;1.5;28;131
16;4;0.8;7;690
16;4;0.9;7;772
16;4;1;10;1039
16;4;1.1;12;1426
16;4;1.2;13;1907
16;4;1.3;17;2008
16;4;1.4;17;2337
16;4;1.5;20;2791
16;6;0.8;7;504
16;6;0.9;7;541
16;6;1;10;656
16;6;1.1;13;899
16;6;1.2;14;1355
16;6;1.3;17;1344
16;6;1.4;18;1420
16;6;1.5;21;1606
16;8;0.8;7;350
16;8;0.9;7;385
16;8;1;10;492
16;8;1.1;13;597
16;8;1.2;14;936
16;8;1.3;18;938
16;8;1.4;17;995
16;8;1.5;21;1099
16;10;0.8;7;249
16;10;0.9;7;249
16;10;1;10;312
16;10;1.1;13;401
16;10;1.2;14;695
16;10;1.3;18;657
16;10;1.4;18;772
16;10;1.5;22;809
16;12;0.8;8;215
16;12;0.9;7;164
16;12;1;10;210
16;12;1.1;13;232
16;12;1.2;15;369
16;12;1.3;18;426
16;12;1.4;18;502
16;12;1.5;22;572
16;14;0.8;7;105
16;14;0.9;7;117
16;14;1;10;147
16;14;1.1;13;183
16;14;1.2;14;205
16;14;1.3;18;251
16;14;1.4;18;285
16;14;1.5;22;338
16;16;0.8;7;67
16;16;0.9;7;77
16;16;1;10;73
16;16;1.1;14;126
16;16;1.2;14;123
16;16;1.3;17;144
16;16;1.4;18;162
16;16;1.5;22;201
16;18;0.8;7;53
16;18;0.9;7;65
16;18;1;10;48
16;18;1.1;13;96
16;18;1.2;15;83
16;18;1.3;17;86
16;18;1.4;17;94
16;18;1.5;21;112
16;20;0.8;7;41
16;20;0.9;7;58
16;20;1;10;35
16;20;1.1;13;69
16;20;1.2;15;62
16;20;1.3;17;65
16;20;1.4;18;73
16;20;1.5;22;77
18;4;0.8;6;499
18;4;0.9;6;556
18;4;1;9;688
18;4;1.1;12;959
18;4;1.2;11;1286
18;4;1.3;14;1306
18;4;1.4;15;1450
18;4;1.5;17;1741
18;6;0.8;6;359
18;6;0.9;6;401
18;6;1;9;484
18;6;1.1;11;614
18;6;1.2;11;981
18;6;1.3;15;903
18;6;1.4;15;984
18;6;1.5;17;1052
18;8;0.8;6;251
18;8;0.9;6;273
18;8;1;9;349
18;8;1.1;11;441
18;8;1.2;12;697
18;8;1.3;15;628
18;8;1.4;15;735
18;8;1.5;18;774
18;10;0.8;6;167
18;10;0.9;6;172
